Iteration,seconds
0,290
1,284
2,280
3,309
4,348
5,319
6,310
7,325
8,353
9,324
10,514
11,314
12,327
13,324
14,329
15,330
16,325
17,311
18,320
19,322
20,524
21,332
22,329
23,327
24,331
25,336
26,327
27,320
28,337
29,326
30,528
31,324
32,331
33,323
34,320
35,326
36,333
37,326
38,331
39,337
40,535
41,335
42,324
43,320
44,336
45,324
46,335
47,335
48,325
49,329
50,574
51,335
52,333
53,328
54,348
55,333
56,325
57,335
58,327
59,330
60,536
61,327
62,337
63,332
64,334
65,327
66,325
67,343
68,343
69,326
70,553
71,348
72,338
73,328
74,334
75,334
76,337
77,331
78,337
79,338
80,550
81,348
82,341
83,343
84,338
85,336
86,338
87,330
88,328
89,333
90,548
91,337
92,342
93,351
94,348
95,338
96,326
97,341
98,342
99,354
100,575
101,334
102,340
103,344
104,341
105,340
106,334
107,357
108,347
109,329
110,553
111,343
112,342
113,337
114,333
115,340
116,340
117,328
118,334
119,363
120,557
121,344
122,333
123,349
124,336
125,330
126,335
127,324
128,343
129,352
130,563
131,345
132,343
133,334
134,337
135,343
136,341
137,341
138,345
139,346
140,548
141,337
142,341
143,348
144,322
145,330
146,335
147,324
148,333
149,352
150,591
151,335
152,343
153,342
154,328
155,339
156,336
157,334
158,340
159,339
160,559
161,357
162,347
163,339
164,340
165,333
166,328
167,334
168,349
169,341
170,549
171,329
172,329
173,335
174,335
175,334
176,342
177,346
178,337
179,341
180,560
181,193
182,196
183,196
184,198
185,200
186,199
187,194
188,193
189,192
190,405
191,192
192,193
193,194
194,191
195,197
196,192
197,195
198,195
199,200
200,437
