modes,count,share
car-car,61688,0.24460631341869124
other,31251,0.12391700007533912
car-car-car-car,30545,0.12111755679182214
car_passenger-car_passenger,13836,0.05486274400954824
walk-walk,12004,0.04759846625401974
car-car-car,10120,0.04012799720848715
car-car-car-car-car,9430,0.03739199739881757
pt-pt,8194,0.03249098904410511
car-car-car-car-car-car,7348,0.02913641536442328
walk-walk-walk-walk,5754,0.022815859282375006
walk-walk-car-car,4893,0.01940180734596123
pt,3426,0.013584833837576776
bike-bike-bike,3189,0.012645077381212008
car-car-walk-walk,2625,0.010408694928090788
bike-bike,2290,0.00908034719441063
car-walk-walk-car,2143,0.008497460278437546
car-car-walk-car-car-car,1926,0.007637008164382041
car,1881,0.007458573394186199
pt-pt-pt,1879,0.007450642959955273
car_passenger-car_passenger-car_passenger,1736,0.006883616912444041
car-car-car-car-walk-walk,1631,0.00646726911532041
walk-walk-walk,1465,0.005809043074153525
pt-pt-pt-pt,1399,0.005547338744532957
car-car-walk-car_passenger,1229,0.00487325183490422
car-walk-car,1097,0.004349843175663084
car-walk-walk,1052,0.004171408405467241
car-car-car-car-car-walk,890,0.00352904323276221
walk-walk-walk-walk-walk-walk,839,0.003326817159873589
walk,839,0.003326817159873589
pt-walk,782,0.003100799784292189
walk-pt,702,0.0027835824150551363
car-walk-car-car,674,0.002672556335822168
car_passenger-car_passenger-car_passenger-car_passenger-car_passenger-car_passenger,668,0.002648765033129389
car-walk-walk-walk-car-car,662,0.00262497373043661
bike-bike-bike-bike,657,0.0026051476448592944
pt-walk-walk-pt,654,0.0025932519935129047
walk-walk-pt-pt,648,0.002569460690820126
pt-walk-pt,628,0.002490156348510863
car-car-walk-car,620,0.0024584346115871574
pt-walk-walk,601,0.0023830954863933575
pt-pt-walk,598,0.002371199835046968
car-car-pt-car_passenger,585,0.002319652012545947
pt-pt-walk-walk,536,0.002125356373888252
car_passenger-car_passenger-car-car,529,0.00209759985408001
bike,527,0.002089669419849084
car-car-car-walk-walk-car,520,0.0020619129000408417
pt-pt-car-car,437,0.0017327998794573996
car_passenger-car_passenger-car_passenger-car_passenger,433,0.0017169390109955471
car-car-pt-pt,428,0.0016971129254182314
pt-pt-pt-pt-pt-pt,357,0.0014155825102203472
car-car-walk-walk-car-car,343,0.001360069470603863
car-car-car-walk-walk,338,0.0013402433850265472
bike-bike-bike-bike-bike,327,0.0012966259967564524
walk-walk-walk-walk-car-car,324,0.001284730345410063
walk-car_passenger,295,0.0011697390490616314
bike-bike-walk-walk,277,0.0010983651409832945
walk-walk-walk-walk-walk,260,0.0010309564500204209
pt-pt-pt-pt-pt,259,0.0010269912329049578
car-car-car-walk-car-car,239,9.476868905956945E-4
pt-walk-walk-walk-walk-pt,234,9.278608050183788E-4
pt-car_passenger,229,9.08034719441063E-4
bike-walk-walk-bike,227,9.001042852101366E-4
car-walk-walk-car-car-car,226,8.961390680946736E-4
car-car-walk-walk-walk-walk,213,8.445912455936525E-4
car_passenger-pt-pt-car_passenger,211,8.366608113627262E-4
walk-walk-car-car-car-car,211,8.366608113627262E-4
walk-walk-bike-bike,211,8.366608113627262E-4
pt-walk-pt-pt,195,7.732173375153157E-4
walk-walk-car_passenger-car_passenger,194,7.692521203998525E-4
car-walk-car-walk-car-car,193,7.652869032843893E-4
pt-pt-pt-walk,191,7.57356469053463E-4
pt-pt-walk-pt,191,7.57356469053463E-4
pt-pt-bike-bike,182,7.216695150142946E-4
walk-pt-pt,179,7.097738636679051E-4
car-car-car-car-car-car_passenger,173,6.859825609751262E-4
walk-pt-walk-walk,171,6.780521267441998E-4
car-car-car-car-walk-car,165,6.542608240514209E-4
pt-car-car,154,6.106434357813262E-4
car_passenger-walk-walk-car_passenger,152,6.027130015504E-4
walk-walk-pt-walk,149,5.908173502040104E-4
walk-walk-walk-pt,147,5.828869159730841E-4
pt-walk-walk-walk,142,5.630608303957683E-4
car-car-car_passenger-car_passenger,138,5.471999619339157E-4
walk-walk-car-car-car,130,5.154782250102104E-4
walk-walk-pt,130,5.154782250102104E-4
walk-pt-walk,116,4.5996518539372625E-4
walk-car-car,115,4.559999682782631E-4
pt-walk-pt-pt-pt,112,4.441043169318736E-4
pt-pt-pt-pt-walk-walk,109,4.3220866558548414E-4
car-walk-car-car-car,108,4.2824344847002097E-4
walk-pt-pt-pt,108,4.2824344847002097E-4
car-car-car-pt-pt,99,3.9255649443085256E-4
walk-pt-pt-pt-pt,99,3.9255649443085256E-4
car_passenger-pt-car_passenger,95,3.766956259689999E-4
bike-bike-walk-bike-bike-bike,94,3.727304088535368E-4
bike-bike-walk-walk-bike,91,3.608347575071473E-4
bike-bike-bike-bike-bike-bike,90,3.5686954039168415E-4
bike-bike-bike-bike-walk-walk,88,3.4893910616075785E-4
walk-walk-walk-car_passenger,88,3.4893910616075785E-4
bike-bike-pt-pt,86,3.410086719298315E-4
car-car-pt-walk,81,3.2118258635251574E-4
car-walk-walk-car-car,81,3.2118258635251574E-4
pt-pt-car_passenger-car_passenger,81,3.2118258635251574E-4
bike-walk-walk,81,3.2118258635251574E-4
pt-pt-pt-car_passenger,80,3.1721736923705256E-4
bike-walk-bike,80,3.1721736923705256E-4
bike-bike-pt-pt-bike,74,2.934260665442736E-4
pt-pt-walk-walk-walk-walk,74,2.934260665442736E-4
pt-walk-car-car,71,2.8153041519788415E-4
car-walk-car-car-car-car,69,2.7359998096695786E-4
car-car-pt,68,2.696347638514947E-4
pt-pt-car-car-car-car,60,2.3791302692778942E-4
car-car-pt-pt-car-car,60,2.3791302692778942E-4
pt-pt-pt-walk-pt,59,2.3394780981232627E-4
walk-pt-car-car,59,2.3394780981232627E-4
pt-pt-walk-walk-pt,58,2.2998259269686313E-4
car-car-walk-pt,57,2.2601737558139995E-4
pt-walk-walk-pt-pt,56,2.220521584659368E-4
car-pt-pt-car,56,2.220521584659368E-4
walk-walk-car-car-walk-walk,55,2.1808694135047366E-4
pt-pt-pt-walk-walk,54,2.1412172423501048E-4
walk-pt-pt-walk,54,2.1412172423501048E-4
walk-walk-walk-car-car,53,2.1015650711954734E-4
bike-bike-car-car,50,1.9826085577315787E-4
pt-pt-pt-bike-bike,49,1.942956386576947E-4
pt-pt-walk-car_passenger,48,1.9033042154223154E-4
car-car-car-walk-walk-walk,48,1.9033042154223154E-4
car-car-car-car-pt-pt,48,1.9033042154223154E-4
pt-car,47,1.863652044267684E-4
bike-walk-walk-walk-bike-bike,47,1.863652044267684E-4
pt-walk-pt-car-car,47,1.863652044267684E-4
pt-walk-pt-walk,45,1.7843477019584207E-4
pt-pt-walk-pt-pt,42,1.665391188494526E-4
pt-pt-walk-pt-pt-pt,41,1.6257390173398946E-4
walk-pt-walk-pt,41,1.6257390173398946E-4
car-car-walk,41,1.6257390173398946E-4
bike-walk-walk-bike-bike,39,1.5464346750306313E-4
walk-walk-pt-car_passenger,39,1.5464346750306313E-4
pt-pt-pt-pt-pt-walk,39,1.5464346750306313E-4
pt-pt-pt-walk-walk-pt,39,1.5464346750306313E-4
car_passenger-car_passenger-pt-pt,38,1.506782503876E-4
bike-pt-pt-bike-bike,38,1.506782503876E-4
