dist_group,main_mode,share
0 - 1000,bike,0.002461139896373057
0 - 1000,car,0.1865544041450777
0 - 1000,car_passenger,0.011515544041450778
0 - 1000,pt,0.0015932642487046633
0 - 1000,walk,0.7978756476683938
1000 - 2000,bike,0.015110098033105094
1000 - 2000,car,0.5998272622853021
1000 - 2000,car_passenger,0.0765388348217863
1000 - 2000,pt,0.03929337809080305
1000 - 2000,walk,0.2692304267690034
2000 - 5000,bike,0.030534455310438934
2000 - 5000,car,0.7771071184898795
2000 - 5000,car_passenger,0.06772799636115533
2000 - 5000,pt,0.0842165112576757
2000 - 5000,walk,0.04041391858085058
5000 - 10000,bike,0.044389155249922575
5000 - 10000,car,0.7457901312347167
5000 - 10000,car_passenger,0.06687204348151074
5000 - 10000,pt,0.12687268417174768
5000 - 10000,walk,0.016075985862102102
10000 - 20000,bike,0.031455707858665055
10000 - 20000,car,0.7496066721039754
10000 - 20000,car_passenger,0.09973427346154859
10000 - 20000,pt,0.10926359546423216
10000 - 20000,walk,0.009939751111578837
20000+,bike,0.057201910960828925
20000+,car,0.8208519549274323
20000+,car_passenger,0.0427337255577413
20000+,pt,0.06931312380451632
20000+,walk,0.009899284749481013
