purpose,main_mode,share
education,bike,0.09001522456229383
education,car,0.06413346866277594
education,car_passenger,0.350735853844202
education,pt,0.1869449378330373
education,walk,0.30817051509769094
home,bike,0.02948552321604985
home,car,0.6573219849532639
home,car_passenger,0.06625883425792234
home,pt,0.082136433872888
home,walk,0.16479722369987587
leisure,bike,0.06523810363992448
leisure,car,0.5695520228664185
leisure,car_passenger,0.08996594738606489
leisure,pt,0.09414753780193023
leisure,walk,0.1810963883056619
other,bike,0.02107974892527576
other,car,0.7315542227291216
other,car_passenger,0.021342946698463084
other,pt,0.0604557309321189
other,walk,0.16556735071502063
shop,bike,0.017438482822454384
shop,car,0.7183453627027186
shop,car_passenger,0.07326919857813839
shop,pt,0.05278808944730545
shop,walk,0.1381588664493831
work,bike,0.02025184992859925
work,car,0.6713506157475592
work,car_passenger,0.042330126641210095
work,pt,0.07324956241858299
work,walk,0.1928178452640485
