purpose,h,arrival,departure
education,6,7.185286995759654E-5,6.600199340390654E-4
education,7,0.0017922158706566223,0.0030927528168891195
education,8,0.005530618047593288,0.006074646920129376
education,9,0.003081461651610069,0.0015828160782087694
education,10,4.619113068702635E-4,0.0
education,11,2.258233055810177E-4,2.3506153171842299E-4
education,12,2.750938449805125E-4,2.412203491433598E-4
education,13,0.0019502921845633346,0.0027129590756846808
education,14,0.0018394334709144714,0.0012081546848584446
education,15,3.099938103884879E-4,6.46675829618369E-5
education,16,1.3959986163190186E-4,4.927053939949477E-5
education,17,1.06752835365572E-4,8.417050480747024E-5
education,18,1.8784393146057383E-4,1.2009693978626851E-4
education,19,4.8244069828671966E-5,2.4635269699747385E-5
education,20,4.8244069828671966E-5,1.1291165279050885E-5
education,21,4.105878283291231E-5,4.105878283291231E-6
education,22,1.4370573991519308E-5,9.23822613740527E-6
education,23,1.4370573991519308E-5,3.079408712468423E-6
education,24,1.4370573991519308E-5,2.0529391416456156E-6
education,25,1.0264695708228077E-5,1.0264695708228078E-6
education,26,7.185286995759654E-6,0.0
education,27,4.105878283291231E-6,0.0
education,28,1.0264695708228078E-6,0.0
education,29,5.132347854114039E-6,0.0
home,6,3.161526278134248E-4,0.0017357600442613678
home,7,0.004564710181449026,0.004862386356987641
home,8,0.009123261545473115,0.012475711163780405
home,9,0.013095698784557382,0.015663925650756045
home,10,0.016628807047329486,0.018701249110820734
home,11,0.023998858565837246,0.028273077858743417
home,12,0.03168608918172925,0.03569958520364643
home,13,0.013152154610952635,0.00791510686061467
home,14,0.015802499042817126,0.01724776819853564
home,15,0.01887882834657308,0.01981907447344677
home,16,0.023998858565837246,0.031073286847948037
home,17,0.04140162366956713,0.05542730388528997
home,18,0.04454877937370986,0.05868531830308157
home,19,0.04351204510717882,0.037147933768077415
home,20,0.0219130723979253,0.01305874588000776
home,21,0.018973263547088778,0.01590001365204529
home,22,0.01541346707547528,0.012665608034382625
home,23,0.013168578124085801,0.005910411788797727
home,24,0.010939086216258663,0.004364548615138578
home,25,0.008175830131603664,0.0029346765029824072
home,26,0.0053479064639868285,0.0021381361160239085
home,27,0.004613980720848521,0.0016567218873080117
home,28,0.003881081447281036,0.0013641780596235114
home,29,0.0020837332287702995,4.988642114198845E-4
home,30,1.0264695708228078E-6,0.0
leisure,6,2.3608800128924578E-5,2.7714678412215808E-5
leisure,7,9.782255009941358E-4,0.0011311694670467342
leisure,8,0.004785401139175929,0.007990039139284736
leisure,9,0.007817592251386504,0.008692144325727536
leisure,10,0.007947953886881,0.007637960076492512
leisure,11,0.0064544406613338155,0.007768321711987009
leisure,12,0.01174589129892539,0.012844213739705793
leisure,13,0.009196140885001534,0.008766050134826777
leisure,14,0.009943410732560538,0.009825366731915915
leisure,15,0.00850327392469614,0.01070813056282353
leisure,16,0.011408182810124685,0.010243139847240798
leisure,17,0.008087553748512902,0.006052064589571275
leisure,18,0.00693174901176642,0.007002575412153195
leisure,19,0.008688038447444245,0.011723308968367287
leisure,20,0.006090043963691718,0.0026308415100188562
leisure,21,0.002857691285170697,8.632609090619813E-4
leisure,22,0.0015489425823716168,6.425699513350776E-4
leisure,23,9.464049442986287E-4,4.362495675996933E-4
leisure,24,7.503492562714724E-4,3.9108490648348976E-4
leisure,25,6.107493946395706E-4,3.336026105174125E-4
leisure,26,3.7055551506703357E-4,2.4224681871418263E-4
leisure,27,3.294967322341213E-4,2.0939979244785279E-4
leisure,28,2.545644535640563E-4,1.5602337476506678E-4
leisure,29,8.417050480747024E-5,3.695290454962108E-5
other,6,4.793612895742512E-4,0.0011250106496217972
other,7,0.003709661028953627,0.00596276173690969
other,8,0.007201710508892819,0.012282734884465718
other,9,0.011404076931841395,0.009403487738307742
other,10,0.008369832880489174,0.00608696455497925
other,11,0.006866054959233761,0.008040336148255053
other,12,0.008991873440407796,0.008069077296238092
other,13,0.005197015437075876,0.005226783054629737
other,14,0.005556279786863859,0.005758494292315951
other,15,0.0059863705370386145,0.005284265350595814
other,16,0.012127737979271474,0.016462518976856192
other,17,0.014778082411135963,0.015112711491224198
other,18,0.009486631773544389,0.009429149477578311
other,19,0.006853737324383887,0.006168055651074251
other,20,0.005555253317293035,0.0036768140026872975
other,21,0.0034417524709688743,0.003878002038568568
other,22,0.0034622818623853305,0.001739865922544659
other,23,0.002484056361391195,0.0013108016419407255
other,24,0.001939001019284284,0.0010151784055437568
other,25,0.001617716043616745,9.269020224529954E-4
other,26,0.0011978899891502165,6.589934644682426E-4
other,27,9.176637963155902E-4,4.947583331365934E-4
other,28,7.31872803996662E-4,4.2085252403735115E-4
other,29,3.438673062256406E-4,1.6526160090247206E-4
shop,6,2.4224681871418263E-4,8.827638309076147E-4
shop,7,0.0030506675644853846,0.003112255738734753
shop,8,0.0027642825542258213,0.0038954520212725555
shop,9,0.008136824287912396,0.013027951792883076
shop,10,0.014419844530918803,0.017218000580981777
shop,11,0.011959396969656533,0.008791711874097349
shop,12,0.00849608863770038,0.008087553748512902
shop,13,0.006208087964336341,0.004236239918785727
shop,14,0.005653794396092025,0.005109765523555937
shop,15,0.006191664451203176,0.006567352314124324
shop,16,0.006248120277598431,0.006277887895152292
shop,17,0.008410891663322087,0.01074097758908986
shop,18,0.01139175929699152,0.010358104439172953
shop,19,0.0036049611327297008,0.0019667156976964995
shop,20,0.0017059924267075065,7.441904388465357E-4
shop,21,0.0014935132255471852,0.00124305465026642
shop,22,0.0010367342665310358,4.5575248944532663E-4
shop,23,8.129639000916637E-4,4.0442901090418623E-4
shop,24,7.010787168719777E-4,3.3668201922988097E-4
shop,25,5.82008246656532E-4,2.8022619283462653E-4
shop,26,4.116142978999459E-4,1.7757923575234573E-4
shop,27,3.3976142794234936E-4,1.8271158360645977E-4
shop,28,2.750938449805125E-4,1.0469989622392639E-4
shop,29,1.0777930493639482E-4,4.3111721974557925E-5
work,3,3.2641732352165284E-4,8.129639000916637E-4
work,4,0.0010387872056726814,8.848167700492603E-4
work,5,3.2744379309247566E-4,5.87140594510646E-4
work,6,0.0033452643313115304,0.008053680252675749
work,7,0.01912415457399973,0.039320969849509294
work,8,0.03459305100629945,0.04803672297536576
work,9,0.03088544291648746,0.024590105038631183
work,10,0.018174670220988634,0.006643311062365212
work,11,0.0161884516014465,0.009905431358440095
work,12,0.013450857256062073,0.012496240555196861
work,13,0.024368387611333454,0.026847311624870536
work,14,0.018287581873779143,0.013233245707047637
work,15,0.011327091714029684,0.00926799375495913
work,16,0.011446162184245129,0.009945463671702185
work,17,0.007363892701082822,0.007339257431383075
work,18,0.006649469879790149,0.004952715679220047
work,19,0.00190102164516384,0.001510963208251173
work,20,0.001719336531128203,9.515372921527428E-4
work,21,0.0011732547194504693,3.8595255862937573E-4
work,22,0.001254345815545471,4.5985836772861785E-4
work,23,0.001105507727776164,4.1879958489570557E-4
work,24,0.00100901958811882,3.5515847150469147E-4
work,25,8.314403523664742E-4,2.894644189720318E-4
work,26,7.534286649839408E-4,4.7217600257849155E-4
work,27,0.0015520219910840852,0.0013323575029280045
work,28,6.969728385886865E-4,1.570498443358896E-4
work,29,4.0648195004583187E-4,4.927053939949477E-5
