road_type,hour,congestion_index
all,0,1.0
all,1,1.0
all,2,1.0
all,3,0.9985667218147438
all,4,0.996633550664583
all,5,0.997724172529462
all,6,0.9893199877301471
all,7,0.9714510003476022
all,8,0.9584371564393451
all,9,0.9564887739437253
all,10,0.9627251997680935
all,11,0.9667030937758343
all,12,0.9647758971256062
all,13,0.9695310165600586
all,14,0.9705832500522451
all,15,0.9729298282023522
all,16,0.9685277694673884
all,17,0.9613589520121113
all,18,0.9587470948860423
all,19,0.9624499275344561
all,20,0.9717582973211865
all,21,0.9765278411242657
all,22,0.9787190126071775
all,23,0.9802888480519488
unclassified,0,1.0
unclassified,1,1.0
unclassified,2,1.0
unclassified,3,0.9985667218147438
unclassified,4,0.996633550664583
unclassified,5,0.997724172529462
unclassified,6,0.9893199877301471
unclassified,7,0.9714510003476022
unclassified,8,0.9584371564393451
unclassified,9,0.9564887739437253
unclassified,10,0.9627251997680935
unclassified,11,0.9667030937758343
unclassified,12,0.9647758971256062
unclassified,13,0.9695310165600586
unclassified,14,0.9705832500522451
unclassified,15,0.9729298282023522
unclassified,16,0.9685277694673884
unclassified,17,0.9613589520121113
unclassified,18,0.9587470948860423
unclassified,19,0.9624499275344561
unclassified,20,0.9717582973211865
unclassified,21,0.9765278411242657
unclassified,22,0.9787190126071775
unclassified,23,0.9802888480519488
