iteration;avg_executed;avg_worst;avg_average;avg_best
0;-65.66503059153449;-65.66503059153449;-65.66503059153449;-65.66503059153449
1;-38.791272661540674;-49.33411646656217;-43.711156170922386;-38.08819587528262
2;-27.886402343212374;-42.167638859904194;-33.25486154103774;-24.774100648118235
3;-22.3206892244453;-39.85938712203154;-27.922132448312958;-17.07108580430699
4;-14.663542165189687;-37.49351873460934;-23.630767680191234;-11.930653057375821
5;-14.026106100355918;-42.78901176161045;-23.34353119960369;-6.048726242027575
6;-21.03478146398457;-48.91962917764954;-27.081241481300683;-8.164618635118167
7;-21.945881637912947;-52.8020065491436;-29.303637392783017;-9.473896878771717
8;-26.59202941848693;-57.8064258607171;-32.38493102347553;-11.162849732512766
9;-30.13647115115541;-63.54038998984303;-35.49229693987127;-12.237213992130155
10;-29.341614841387344;-66.47699037135393;-36.67170147376373;-12.153490168316615
11;-30.40852578981888;-69.58631809537506;-38.356707723148546;-12.807568392389657
12;-31.741680971412254;-72.56299504149831;-39.97200213913516;-13.285579352248702
13;-33.58742539040925;-75.50569135259292;-41.48972371315156;-13.696328679137252
14;-31.33897750834653;-76.55169233381923;-41.99172677855639;-13.702489493534676
15;-34.52999173272941;-78.97527224884722;-43.35750668722044;-14.231319024779124
16;-38.827833940838204;-82.25266583118582;-45.281653661726956;-15.180498558768674
17;-47.30865521630438;-88.28147576060378;-48.812516007955594;-16.731914953373643
18;-39.85355204610112;-88.25573449055878;-48.73070899799349;-16.36698740900644
19;-37.784999842025314;-88.61358833259175;-48.875947534779776;-16.340090396174272
20;-37.418245864093954;-88.51636815026764;-49.034553742239055;-16.7260831797466
21;-36.352602185632215;-88.01607153904486;-48.8799171065494;-16.426157623484244
22;-39.56935918636619;-88.43629413862116;-49.525587670936524;-17.28923794630137
23;-38.870048645109804;-87.9876276527789;-49.582641938429134;-17.475129558507376
24;-39.577917065575946;-87.84118431248214;-49.69250887879027;-17.625054247974038
25;-42.89671120603023;-88.85509355148919;-50.436150518249484;-18.15392252264971
26;-42.562186795243896;-88.79221549204986;-50.7412843714496;-18.574131648019602
27;-38.91659100990261;-87.43345428766727;-50.2182945193112;-18.35413280007084
28;-41.102727943366816;-87.38704183072709;-50.47169686535464;-18.94525447574878
29;-44.02165855957737;-88.2159281412302;-51.00006255739849;-19.11774036519959
30;-43.860667727891226;-87.97877983455267;-51.21369510539972;-19.566433984701522
31;-43.51732395181809;-88.08187780737087;-51.27343130288008;-19.623497427889056
32;-39.281052305869046;-85.7518383329897;-50.551200205738446;-19.601849473794974
33;-43.91256604621817;-87.04723671582697;-51.02746367755857;-19.86880567010768
34;-42.1589824985203;-85.71461696839762;-50.78386505749148;-20.10009706860045
35;-42.920727899971816;-85.94064317713828;-50.788415524933335;-19.85023200100845
36;-40.10084495934383;-83.83165634923743;-50.27089685262764;-20.39597341955321
37;-42.55683593397879;-83.85969649756744;-50.40102482775999;-20.549110083991632
38;-42.754940036120836;-84.00975404280555;-50.332322261423194;-20.39088131042474
39;-45.871610080498854;-85.02641233441604;-50.83538879731218;-20.670094898943844
40;-41.63976806832518;-82.93714366716024;-50.317326940892976;-20.83074750943138
41;-44.31267596107864;-83.44208864668997;-50.61752891169101;-21.30125621065229
42;-47.55285049050278;-85.54600794985681;-51.28302199209385;-21.13397312285816
43;-40.83807007211723;-83.28397954718666;-50.40054183148712;-20.729569372381366
44;-44.33819187036943;-84.08042093919056;-50.72063617734412;-20.78121678837673
45;-42.55225947937703;-83.3295514937823;-50.469375030478204;-20.880703911474658
46;-40.51126124304447;-81.79005524945134;-49.98434088323931;-20.671296956654025
47;-39.33362201955857;-80.6971183192952;-49.46376345820696;-20.17335828678726
48;-46.35288399015595;-82.98496524535477;-50.38038873874315;-21.279290844139698
49;-43.597787930229906;-81.77192021224793;-50.14729283342105;-21.10657340960265
50;-39.54731654175381;-80.05041223130952;-49.4591968674264;-20.80001337587133
51;-40.964844538903286;-80.0352055500526;-49.364986635492194;-20.676449010707405
52;-42.76400606280202;-80.71900872902019;-49.48613252308145;-20.824335042604872
53;-40.326138468915104;-79.1156014387766;-49.05949841230556;-20.974663468671995
54;-39.55375404294739;-78.53946255422429;-48.7264185259149;-20.890044305878153
55;-43.76625015096736;-80.09198317143893;-49.194568327647275;-21.067020161139464
56;-42.01885094830132;-79.08515448778493;-48.984859307417175;-21.25963431109767
57;-44.57847846735408;-80.83823992621353;-49.37109043245603;-21.450003227510717
58;-43.70195832524454;-80.20248637592536;-49.38685918640732;-21.719500968228026
59;-47.44796661274346;-82.82260582386094;-50.1597555498692;-21.829044009424294
60;-42.40820117335188;-81.66529020951094;-49.62145768144726;-21.367190748112616
61;-42.45838856037531;-80.79453249038704;-49.539039426270165;-21.733753714807875
62;-41.09819958247548;-79.79079411076465;-49.23000654332882;-21.817506080360978
63;-40.75724708837193;-79.60208255514898;-48.953570917549314;-21.300852031919664
64;-45.924024266026954;-81.52992339986827;-49.734957770403334;-22.02635754086235
65;-49.640165748093494;-84.70829775938161;-50.74213919596695;-22.17665496582277
66;-41.48451657321446;-82.06690217290719;-49.87313657298837;-21.80716376927185
67;-42.64906900493017;-81.72602366533165;-49.8045419543403;-22.017744231642876
68;-44.02699880219051;-81.73500017133745;-49.8895284829459;-22.273560363759707
69;-40.79941202353141;-79.89479899767939;-49.33886549398298;-22.216840851386856
70;-38.791930741319966;-78.260801393685;-48.6900049453414;-21.613462910454466
71;-44.43025991868618;-80.32911486306342;-49.29868932914434;-22.111146694666875
72;-44.963179910899434;-80.55347641970519;-49.502173332067535;-22.30019503179702
73;-46.61662614029609;-82.26474587348767;-49.93440090188734;-22.40869608437723
74;-40.41499388786432;-79.17412520688156;-49.05792275911454;-22.005609870807586
75;-42.282097912904284;-79.52267070487868;-49.10770043368821;-22.142946194111047
76;-40.711668215405204;-78.49621523790012;-48.7268997507363;-21.954871211105093
77;-39.27961655009237;-77.3510733682356;-48.24363083936828;-21.818564038033283
78;-40.325550349260034;-77.14929410479783;-48.12824055891908;-21.585102196609455
79;-42.849369923666195;-77.99804327801515;-48.43833094619969;-22.05512334793539
80;-40.634352618362755;-77.17964229854638;-48.088669686258875;-21.66414642395572
81;-42.34277811512069;-77.72643171251482;-48.2491710182464;-21.83465847620257
82;-40.83881928165347;-77.52562465635388;-48.0046840601969;-21.272261551439907
83;-42.672414887560784;-77.96471611775438;-48.27025647415069;-21.840827741009438
84;-42.85061876642012;-78.15376480671547;-48.33684414529492;-21.979266178837317
85;-43.49024003698742;-78.12605532897217;-48.4946466032086;-22.4296831628405
86;-40.80636760708989;-77.4557784425955;-48.044008744106534;-21.741096093128405
87;-43.442748830575546;-78.69980484448051;-48.35181124759442;-21.91080326167067
88;-41.192952949793;-77.17100391857959;-48.00347586347176;-21.839288499222683
89;-40.215921716964075;-76.69745718562237;-47.72718476024793;-21.710249715898353
90;-40.35436341037589;-76.31069852424436;-47.561855634165696;-21.883020847031908
91;-40.73656983578508;-75.80234664367396;-47.4716932564681;-21.927426962878624
92;-40.56441654367619;-75.43885109342419;-47.3368776392974;-21.8899153139166
93;-40.75541996284004;-75.67375412453609;-47.30090519256078;-21.73592057717241
94;-41.69190712952713;-76.2984471678292;-47.409034643458305;-21.739269967984306
95;-42.67542349763329;-76.5037493246496;-47.59304329700968;-22.031249092435345
96;-41.00445982931263;-75.94760358477991;-47.46654864007614;-22.078437773549073
97;-40.28783321670121;-76.00871522375222;-47.296322884438254;-21.55953626882973
98;-42.30056814935314;-77.37365339225926;-47.517526623733126;-21.349169513783014
99;-41.694981958921225;-76.94053060276656;-47.49084719901184;-21.762462967337033
100;-43.19382330737917;-77.75598727915425;-47.83846328984994;-21.93642646902999
101;-43.86182972480597;-79.22931334630019;-48.13353175051208;-21.6420916321567
102;-39.84922211668324;-77.54359217336057;-47.60334630198024;-21.64546237519546
103;-37.68632945554881;-75.81352573028082;-46.981045123287394;-21.35337136462046
104;-45.083834214022886;-79.14532477799183;-47.90580632054738;-21.663957277863798
105;-40.22030416028297;-77.23581916554407;-47.2577994376875;-21.439404454293726
106;-37.02982236471538;-74.61933436520178;-46.52615214253561;-21.557245601417154
107;-40.04839670705748;-75.055389697506;-46.63945492689735;-21.535196385618743
108;-39.12065686568626;-74.3891070556338;-46.33653740475164;-21.42776241253682
109;-40.03082773923967;-74.64534524430185;-46.33643892737271;-21.284202562430984
110;-39.63393676342111;-74.4380423876871;-46.19810363120535;-21.03672656494545
111;-40.06791833006119;-74.40714430091766;-46.260320065102704;-21.435845512865157
112;-41.383126106173634;-74.95530991781038;-46.484220842612906;-21.697300210847814
113;-43.68460484206856;-76.90193455127117;-46.9376707445621;-21.817104962463553
114;-38.95622663508616;-75.20365704925118;-46.343121803532554;-21.333391377044748
115;-39.20726270418042;-74.93714293200671;-46.212912959408555;-21.29492396855601
116;-39.08110338744871;-74.1915657835856;-46.04020597958985;-21.420341819019686
117;-44.09348291247403;-76.92574826435428;-46.81844890421527;-21.699952899742335
118;-38.39167159153792;-74.16395729078079;-46.11145719447399;-21.518109719468637
119;-39.91740326525196;-74.41361042743347;-46.09289224278306;-21.471507399563116
120;-39.37540445174942;-73.40287084329329;-45.90788024941067;-21.62462216908749
121;-42.411488733884454;-74.84955691420791;-46.34228683807508;-21.775726180619415
122;-42.46454521984309;-75.54117151439758;-46.510887883486916;-21.781210646550875
123;-41.65087788010437;-75.08375282747869;-46.46253467953838;-21.97585747882865
124;-42.331331167735435;-75.83275715185331;-46.583538951245295;-21.709090605811625
125;-37.09636503497805;-73.33305841133446;-45.75230390232858;-21.24332189636964
126;-42.791206478804895;-75.3647379711913;-46.51462493940085;-22.041837703089012
127;-57.942601251383785;-85.79072871619866;-49.546516462695465;-22.681673700959724
128;-43.47475880819007;-81.91263760723685;-48.469480019136725;-22.05656006517768
129;-39.00194568999442;-79.40797364419335;-47.555123820433984;-21.28360514034551
130;-39.61090706768704;-78.03649298137039;-47.29457664113053;-21.765355638414306
131;-40.589399103782064;-77.6835656560082;-47.208883828108355;-21.612506019304544
132;-41.634725497302576;-77.6416599377478;-47.31493712998005;-21.928961219528304
133;-39.41928898606647;-76.0490769179439;-46.829096371207115;-21.882221088149706
134;-42.41842212294626;-76.9102315023478;-47.12899035760472;-22.1041223524087
135;-42.26441792808493;-77.20949890264409;-47.11888535022591;-21.886068159624752
136;-39.231726633699516;-75.88555175069968;-46.587470046673204;-21.449998536319423
137;-39.88745129369234;-75.72519567602065;-46.4896072404253;-21.336339380942125
138;-39.93221538446968;-75.93344317940759;-46.40626230069029;-21.317361137663944
139;-40.880334800562245;-76.4210547218619;-46.487925421429956;-21.35705872817019
140;-39.85041802200107;-75.4293220141355;-46.225815634136026;-21.38842405974992
141;-39.47524541417232;-74.34126246914231;-46.03071602819799;-21.653548782273177
