dist_group,main_mode,share
0 - 1000,bike,3.9005843691266695E-4
0 - 1000,car,0.029566429517980154
0 - 1000,car_passenger,0.0018250628969229523
0 - 1000,pt,2.525115144224107E-4
0 - 1000,walk,0.12645283936880333
1000 - 2000,bike,0.0017419188616863048
1000 - 2000,car,0.06914914910804927
1000 - 2000,car_passenger,0.008823532430792855
1000 - 2000,pt,0.004529810216041051
1000 - 2000,walk,0.03103736041296924
2000 - 5000,bike,0.006890690228933508
2000 - 5000,car,0.17536924676636423
2000 - 5000,car_passenger,0.015284131909551607
2000 - 5000,pt,0.019005084103784285
2000 - 5000,walk,0.009120182136760647
5000 - 10000,bike,0.008534068011820824
5000 - 10000,car,0.1433824020003839
5000 - 10000,car_passenger,0.012856531374555667
5000 - 10000,pt,0.02439199641146238
5000 - 10000,walk,0.0030906998777474742
10000 - 20000,bike,0.006136235094378745
10000 - 20000,car,0.14622982858984637
10000 - 20000,car_passenger,0.0194557042453755
10000 - 20000,pt,0.021314640638135603
10000 - 20000,walk,0.001939001019284284
20000+,bike,0.0064770229918919165
20000+,car,0.09294579316843442
20000+,car_passenger,0.004838777556858716
20000+,pt,0.007848386338511188
20000+,walk,0.0011209047713385061
