link,Agents,pt,car,car_passenger,walk,bike
214577,788.0,0.0,788.0,0.0,0.0,0.0
125159,166.0,0.0,166.0,0.0,0.0,0.0
pt_stop_point:SP_2860,120.0,120.0,0.0,0.0,0.0,0.0
140427,73.0,72.0,0.0,0.0,1.0,0.0
pt_stop_point:SP_56,72.0,72.0,0.0,0.0,0.0,0.0
39597,71.0,71.0,0.0,0.0,0.0,0.0
81438,70.0,0.0,56.0,13.0,1.0,0.0
pt_stop_point:SP_4007,64.0,64.0,0.0,0.0,0.0,0.0
42447,62.0,0.0,62.0,0.0,0.0,0.0
192676,47.0,47.0,0.0,0.0,0.0,0.0
98589,40.0,40.0,0.0,0.0,0.0,0.0
128944,38.0,38.0,0.0,0.0,0.0,0.0
115931,36.0,36.0,0.0,0.0,0.0,0.0
182832,29.0,29.0,0.0,0.0,0.0,0.0
13540,28.0,28.0,0.0,0.0,0.0,0.0
151077,25.0,25.0,0.0,0.0,0.0,0.0
206681,23.0,23.0,0.0,0.0,0.0,0.0
151381,23.0,23.0,0.0,0.0,0.0,0.0
19103,22.0,22.0,0.0,0.0,0.0,0.0
166892,19.0,0.0,0.0,18.0,1.0,0.0
