Iteration;bike_travel;bike_wait;car_travel;car_wait;car_passenger_travel;car_passenger_wait;pt_travel;pt_wait;stageActivity_travel;stageActivity_wait;walk_travel;walk_wait
0;33457;0;976709;0;10657;0;106741;16897;0;0;78372;0
1;33549;0;873940;0;11915;0;106804;16149;0;0;81248;0
2;33558;0;809821;0;13215;0;100266;15879;0;0;82924;0
3;33580;0;758226;0;14509;0;106269;15561;0;0;83586;0
4;33690;0;755613;0;15720;0;88954;15813;0;0;84835;0
5;33707;0;769126;0;16967;0;83803;15586;0;0;85289;0
6;33705;0;710499;0;17620;0;79075;15564;0;0;85375;0
7;33677;0;682133;0;18498;0;85884;15299;0;0;85489;0
8;33748;0;674965;0;18888;0;82020;15328;0;0;85598;0
9;33766;0;694004;0;19559;0;76356;15213;0;0;85823;0
10;33670;0;647683;0;19651;0;84354;14978;0;0;85679;0
11;33736;0;636421;0;19856;0;80022;14979;0;0;85941;0
12;33809;0;682089;0;20282;0;73618;14875;0;0;86361;0
13;33744;0;678798;0;20394;0;73810;14944;0;0;86028;0
14;33697;0;658320;0;20683;0;78383;14742;0;0;85891;0
15;33710;0;652763;0;20753;0;76677;14652;0;0;85981;0
16;33727;0;666194;0;20799;0;80131;15099;0;0;85972;0
17;33764;0;696878;0;20822;0;76414;14570;0;0;85839;0
18;33703;0;703508;0;20643;0;80271;14738;0;0;85900;0
19;33730;0;688180;0;20620;0;74360;14535;0;0;86111;0
20;33746;0;654940;0;20709;0;77698;14755;0;0;86245;0
21;33789;0;665373;0;20929;0;73375;15223;0;0;86537;0
22;33733;0;643201;0;20852;0;74649;14774;0;0;86313;0
23;33722;0;641687;0;20824;0;74880;14808;0;0;86363;0
24;33735;0;690774;0;20768;0;74196;14818;0;0;86254;0
25;33733;0;659137;0;20752;0;75105;14759;0;0;86105;0
26;33703;0;661860;0;20804;0;81549;14697;0;0;85976;0
27;33779;0;641997;0;20501;0;71243;14852;0;0;86664;0
28;33741;0;662136;0;20797;0;75727;14633;0;0;86392;0
29;33731;0;643165;0;20465;0;74582;14671;0;0;86102;0
30;33712;0;657495;0;20408;0;79805;14703;0;0;85868;0
31;33765;0;629466;0;20384;0;72942;15094;0;0;86474;0
32;33745;0;653436;0;20374;0;73274;14786;0;0;86487;0
33;33750;0;667064;0;20341;0;70764;14622;0;0;86411;0
34;33792;0;664516;0;20128;0;75201;14926;0;0;86506;0
35;33779;0;641166;0;20167;0;72367;14678;0;0;86529;0
36;33749;0;628189;0;20173;0;75847;14969;0;0;86484;0
37;33735;0;667175;0;20120;0;75511;14607;0;0;86358;0
38;33839;0;654720;0;20159;0;67971;14936;0;0;86723;0
39;33745;0;631160;0;20077;0;74841;14679;0;0;86341;0
40;33722;0;637035;0;19907;0;77440;14833;0;0;86274;0
41;33716;0;621505;0;20130;0;76019;14557;0;0;86389;0
42;33782;0;673839;0;19962;0;69219;14574;0;0;86371;0
43;33779;0;649400;0;19940;0;70905;14864;0;0;86580;0
44;33735;0;670983;0;19947;0;73831;14363;0;0;86221;0
45;33771;0;632009;0;19796;0;76326;14702;0;0;86325;0
46;33769;0;693749;0;20005;0;72053;14659;0;0;86447;0
47;33727;0;654567;0;20070;0;74840;14954;0;0;86492;0
48;33684;0;624604;0;19925;0;76904;14526;0;0;85986;0
49;33727;0;661557;0;19782;0;77811;14592;0;0;86364;0
50;33802;0;627153;0;19765;0;67816;14862;0;0;86804;0
51;33811;0;666097;0;19777;0;74156;14989;0;0;86425;0
52;33757;0;627148;0;19725;0;74298;14487;0;0;86272;0
53;33831;0;695014;0;19583;0;69680;14700;0;0;86750;0
54;33758;0;670783;0;19798;0;75070;14806;0;0;86464;0
55;33628;0;666448;0;19713;0;82201;14705;0;0;85549;0
56;33754;0;699721;0;19616;0;80976;14383;0;0;86151;0
57;33767;0;624559;0;19469;0;72517;14683;0;0;86379;0
58;33756;0;670777;0;19477;0;72826;14526;0;0;86462;0
59;33717;0;662625;0;19551;0;77252;14491;0;0;85640;0
60;33752;0;644228;0;19308;0;73487;14695;0;0;86504;0
61;33735;0;657205;0;19500;0;72960;14429;0;0;86378;0
62;33730;0;631600;0;19576;0;81576;14505;0;0;86103;0
63;33715;0;624951;0;19569;0;77840;14744;0;0;86344;0
64;33710;0;680972;0;19571;0;78645;14488;0;0;86060;0
