Iteration;bike;car;car_passenger;pt;walk
0;373421;4844903;519548;588914;333486
1;374451;5550911;531352;606311;345772
2;374555;5825231;541514;621341;352916
3;374802;6011592;550227;628946;355728
4;376027;6208880;561052;647847;360967
5;376210;6327784;571343;650168;362904
6;376195;6273544;579197;652825;363251
7;375884;6328832;580432;650086;363770
8;376669;6364919;582425;652622;364212
9;376880;6286942;585955;655197;365150
10;375805;6375979;586747;650192;364583
11;376540;6405868;589785;654479;365683
12;377356;6394193;592927;662464;367428
13;376629;6413991;591525;656857;366020
14;376103;6449713;590780;648315;365498
15;376244;6440382;591284;648521;365949
16;376440;6392323;588434;654932;365806
17;376847;6211592;587717;657018;365218
18;376168;6336568;586809;654111;365499
19;376468;6415183;588953;658861;366369
20;376655;6457020;590079;656914;366976
21;377126;6478470;589672;663317;368165
22;376511;6499800;590766;659652;367241
23;376380;6474949;587975;658535;367462
24;376526;6460507;586885;658600;366982
25;376504;6421695;583208;650313;366464
26;376175;6440130;586130;654964;365814
27;377021;6487519;582906;664287;368714
28;376592;6470983;584946;656125;367599
29;376482;6424835;581129;654866;366344
30;376266;6417841;580125;653020;365362
31;376866;6427957;581682;662440;367903
32;376642;6498957;581820;661949;367972
33;376694;6420006;579945;663506;367625
34;377169;6453143;579241;661765;368052
35;377019;6419374;579098;663302;368143
36;376686;6474972;577466;662357;367947
37;376532;6464373;579817;657296;367451
38;377688;6448188;579214;667205;368948
39;376644;6411201;576321;659793;367336
40;376381;6492743;578825;657266;367097
41;376312;6471638;579554;659565;367563
42;377049;6333015;578237;662661;367460
43;377024;6441465;576574;664860;368349
44;376532;6409525;579022;657379;366871
45;376927;6457451;578032;658517;367309
46;376907;6513925;580605;661872;367811
47;376434;6493544;576664;659901;368016
48;375960;6398976;576425;653514;365859
49;376441;6441813;576569;658421;367469
50;377279;6511388;577807;665438;369319
51;377371;6479647;576689;660960;367719
52;376771;6448325;575906;653786;367158
53;377604;6469936;576459;665291;369087
54;376786;6520033;578638;659173;367893
55;375331;6469462;574729;635981;364173
56;376735;6491997;577604;654184;366589
57;376888;6381729;573906;662842;367486
58;376765;6447880;576067;661602;367862
59;376328;6319434;574380;647767;364467
60;376721;6426268;574310;663664;368030
61;376526;6483669;575818;656949;367532
62;376467;6502512;575816;651323;366400
63;376306;6477524;574180;658942;367369
64;376251;6415824;575033;651581;366212
65;376997;6276363;576074;664614;367804
66;376395;6448465;576060;660937;368371
67;377146;6461090;576967;660511;368693
68;376287;6427592;573447;652730;366059
69;377282;6527034;577575;666165;369520
70;377230;6488517;573543;664199;368761
71;376313;6428633;574404;654822;366813
72;375945;6427815;571380;649539;365808
73;377344;6394475;573431;662665;367855
74;376028;6505079;572628;655983;366966
75;376957;6467871;572936;657624;367077
76;376834;6466020;572227;664104;368327
77;377462;6494734;573082;665158;369217
78;376440;6490463;573019;659049;367729
79;376577;6477611;573119;656671;367124
80;376136;6467962;571124;662341;368294
81;376937;6438348;571047;658682;367296
82;376467;6478301;572312;649453;366668
83;376614;6456136;571261;652265;366139
84;376382;6453682;573206;653153;366059
85;376176;6493840;575692;654052;367136
86;376591;6482410;573196;660470;368009
87;377313;6433417;572829;663100;368107
88;377217;6473350;571702;658630;367443
89;376998;6474436;570779;661324;368041
90;377307;6483343;572843;664096;368924
91;376742;6473060;570890;660000;368316
92;376712;6497940;571197;654386;367194
93;376539;6503122;572197;659889;368056
94;376914;6448839;570415;660170;367405
95;376784;6437563;570061;655353;366633
96;376043;6520048;572959;652897;367068
97;377146;6494187;573010;663555;369184
98;377325;6403015;571218;663044;368233
99;376881;6494318;573657;656871;367001
100;375993;6450740;573647;655326;366464
101;376756;6429671;571016;652357;366603
102;376806;6494457;572550;659044;366663
