iteration;BEGIN iteration;BEGIN iterationStartsListeners;END iterationStartsListeners;BEGIN replanning;END replanning;BEGIN beforeMobsimListeners;BEGIN dump all plans;END dump all plans;END beforeMobsimListeners;BEGIN prepareForMobsim;END prepareForMobsim;BEGIN mobsim;END mobsim;BEGIN afterMobsimListeners;END afterMobsimListeners;BEGIN scoring;END scoring;BEGIN iterationEndsListeners;BEGIN compare with counts;END compare with counts;END iterationEndsListeners;END iteration;;iterationStartsListeners;replanning;dump all plans;beforeMobsimListeners;prepareForMobsim;mobsim;afterMobsimListeners;scoring;compare with counts;iterationEndsListeners;iteration
0;15:19:46;15:19:46;15:19:46;;;15:19:46;15:19:46;15:20:07;15:20:08;15:20:08;15:20:09;15:20:09;15:24:11;15:24:11;15:24:11;15:24:11;15:24:11;15:24:11;;;15:24:36;15:24:36;;00:00:00;;00:00:21;00:00:21;00:00:01;00:04:02;00:00:00;00:00:00;;00:00:24;00:04:50
1;15:24:36;15:24:36;15:24:36;15:24:36;15:25:54;15:25:54;15:25:54;15:26:18;15:26:21;15:26:21;15:26:23;15:26:23;15:28:55;15:28:55;15:28:55;15:28:55;15:28:55;15:28:55;;;15:29:20;15:29:20;;00:00:00;00:01:17;00:00:24;00:00:27;00:00:01;00:02:32;00:00:00;00:00:00;;00:00:25;00:04:44
2;15:29:20;15:29:20;15:29:21;15:29:21;15:31:23;15:31:23;;;15:31:26;15:31:26;15:31:28;15:31:28;15:33:56;15:33:56;15:33:56;15:33:56;15:33:56;15:33:56;;;15:34:00;15:34:00;;00:00:00;00:02:02;;00:00:03;00:00:01;00:02:28;00:00:00;00:00:00;;00:00:03;00:04:39
3;15:34:00;15:34:00;15:34:00;15:34:00;15:36:27;15:36:27;;;15:36:30;15:36:30;15:36:31;15:36:31;15:39:06;15:39:06;15:39:06;15:39:06;15:39:06;15:39:06;;;15:39:09;15:39:09;;00:00:00;00:02:26;;00:00:03;00:00:01;00:02:34;00:00:00;00:00:00;;00:00:03;00:05:09
4;15:39:09;15:39:09;15:39:10;15:39:10;15:42:08;15:42:08;;;15:42:11;15:42:11;15:42:12;15:42:12;15:44:54;15:44:54;15:44:54;15:44:54;15:44:54;15:44:54;;;15:44:57;15:44:57;;00:00:00;00:02:57;;00:00:03;00:00:01;00:02:41;00:00:00;00:00:00;;00:00:03;00:05:48
5;15:44:57;15:44:57;15:44:58;15:44:58;15:47:27;15:47:27;;;15:47:28;15:47:28;15:47:30;15:47:30;15:50:13;15:50:13;15:50:13;15:50:13;15:50:13;15:50:13;;;15:50:16;15:50:16;;00:00:00;00:02:29;;00:00:00;00:00:01;00:02:43;00:00:00;00:00:00;;00:00:02;00:05:18
6;15:50:16;15:50:16;15:50:17;15:50:17;15:52:37;15:52:37;;;15:52:38;15:52:38;15:52:40;15:52:40;15:55:22;15:55:22;15:55:22;15:55:22;15:55:23;15:55:23;;;15:55:26;15:55:26;;00:00:00;00:02:20;;00:00:00;00:00:02;00:02:42;00:00:00;00:00:00;;00:00:03;00:05:09
7;15:55:26;15:55:26;15:55:26;15:55:26;15:57:58;15:57:58;;;15:57:59;15:57:59;15:58:01;15:58:01;16:00:47;16:00:47;16:00:47;16:00:47;16:00:48;16:00:48;;;16:00:51;16:00:51;;00:00:00;00:02:32;;00:00:00;00:00:02;00:02:46;00:00:00;00:00:00;;00:00:03;00:05:25
8;16:00:51;16:00:51;16:00:51;16:00:51;16:03:53;16:03:53;;;16:03:54;16:03:54;16:03:56;16:03:56;16:06:41;16:06:41;16:06:41;16:06:41;16:06:41;16:06:41;;;16:06:44;16:06:44;;00:00:00;00:03:02;;00:00:00;00:00:02;00:02:44;00:00:00;00:00:00;;00:00:03;00:05:53
9;16:06:44;16:06:44;16:06:45;16:06:45;16:09:20;16:09:20;;;16:09:20;16:09:20;16:09:23;16:09:23;16:12:05;16:12:05;16:12:05;16:12:05;16:12:05;16:12:05;;;16:12:08;16:12:08;;00:00:00;00:02:35;;00:00:00;00:00:02;00:02:41;00:00:00;00:00:00;;00:00:02;00:05:23
10;16:12:08;16:12:08;16:12:09;16:12:09;16:14:41;16:14:41;16:14:41;16:15:32;16:15:33;16:15:33;16:15:35;16:15:35;16:20:38;16:20:38;16:20:38;16:20:38;16:20:38;16:20:38;16:20:38;16:20:39;16:20:42;16:20:42;;00:00:00;00:02:32;00:00:50;00:00:51;00:00:02;00:05:02;00:00:00;00:00:00;00:00:00;00:00:03;00:08:33
11;16:20:42;16:20:42;16:20:42;16:20:42;16:23:03;16:23:03;;;16:23:03;16:23:03;16:23:06;16:23:06;16:25:52;16:25:52;16:25:52;16:25:52;16:25:53;16:25:53;;;16:25:56;16:25:56;;00:00:00;00:02:20;;00:00:00;00:00:02;00:02:46;00:00:00;00:00:00;;00:00:03;00:05:14
12;16:25:56;16:25:56;16:25:56;16:25:56;16:28:29;16:28:29;;;16:28:30;16:28:30;16:28:33;16:28:33;16:31:19;16:31:19;16:31:20;16:31:20;16:31:20;16:31:20;;;16:31:23;16:31:23;;00:00:00;00:02:33;;00:00:00;00:00:03;00:02:46;00:00:00;00:00:00;;00:00:03;00:05:27
13;16:31:23;16:31:23;16:31:23;16:31:23;16:33:50;16:33:50;;;16:33:51;16:33:51;16:33:54;16:33:54;16:36:43;16:36:43;16:36:43;16:36:43;16:36:44;16:36:44;;;16:36:47;16:36:47;;00:00:00;00:02:26;;00:00:00;00:00:03;00:02:49;00:00:00;00:00:00;;00:00:03;00:05:23
14;16:36:47;16:36:47;16:36:47;16:36:47;16:39:17;16:39:17;;;16:39:17;16:39:17;16:39:21;16:39:21;16:42:12;16:42:12;16:42:12;16:42:12;16:42:12;16:42:12;;;16:42:15;16:42:15;;00:00:00;00:02:29;;00:00:00;00:00:03;00:02:51;00:00:00;00:00:00;;00:00:03;00:05:28
15;16:42:16;16:42:16;16:42:16;16:42:16;16:44:51;16:44:51;;;16:44:51;16:44:51;16:44:55;16:44:55;16:47:43;16:47:43;16:47:43;16:47:43;16:47:43;16:47:43;;;16:47:46;16:47:46;;00:00:00;00:02:34;;00:00:00;00:00:03;00:02:47;00:00:00;00:00:00;;00:00:03;00:05:30
16;16:47:46;16:47:46;16:47:47;16:47:47;16:50:16;16:50:16;;;16:50:17;16:50:17;16:50:20;16:50:20;16:53:07;16:53:07;16:53:07;16:53:07;16:53:07;16:53:07;;;16:53:10;16:53:10;;00:00:00;00:02:29;;00:00:00;00:00:03;00:02:46;00:00:00;00:00:00;;00:00:03;00:05:24
17;16:53:11;16:53:11;16:53:11;16:53:11;16:55:34;16:55:34;;;16:55:34;16:55:34;16:55:38;16:55:38;16:58:19;16:58:19;16:58:19;16:58:19;16:58:19;16:58:19;;;16:58:22;16:58:22;;00:00:00;00:02:22;;00:00:00;00:00:03;00:02:40;00:00:00;00:00:00;;00:00:03;00:05:11
18;16:58:22;16:58:22;16:58:22;16:58:22;17:00:51;17:00:51;;;17:00:51;17:00:51;17:00:55;17:00:55;17:03:38;17:03:38;17:03:38;17:03:38;17:03:39;17:03:39;;;17:03:42;17:03:42;;00:00:00;00:02:28;;00:00:00;00:00:03;00:02:43;00:00:00;00:00:00;;00:00:03;00:05:19
19;17:03:42;17:03:42;17:03:42;17:03:42;17:06:05;17:06:05;;;17:06:06;17:06:06;17:06:09;17:06:09;17:09:01;17:09:01;17:09:01;17:09:01;17:09:01;17:09:01;;;17:09:04;17:09:04;;00:00:00;00:02:22;;00:00:00;00:00:03;00:02:51;00:00:00;00:00:00;;00:00:03;00:05:21
20;17:09:04;17:09:04;17:09:04;17:09:04;17:11:26;17:11:26;17:11:26;17:12:34;17:12:34;17:12:34;17:12:38;17:12:38;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:45;17:17:48;17:17:48;;00:00:00;00:02:21;00:01:07;00:01:08;00:00:03;00:05:06;00:00:00;00:00:00;00:00:00;00:00:03;00:08:44
21;17:17:48;17:17:48;17:17:49;17:17:49;17:20:18;17:20:18;;;17:20:19;17:20:19;17:20:23;17:20:23;17:23:16;17:23:16;17:23:16;17:23:16;17:23:17;17:23:17;;;17:23:20;17:23:20;;00:00:00;00:02:29;;00:00:00;00:00:04;00:02:53;00:00:00;00:00:00;;00:00:03;00:05:31
