ITERATION;avg. Average Leg distance;avg. Average Trip distance
0;2790.539708217581;7566.424654689986
1;2945.602900606241;7963.629035533589
2;3010.143234105863;8130.388310556054
3;3059.714290216383;8259.55548052516
4;3117.583887801564;8418.721655371835
5;3163.3536037266704;8540.594666964624
6;3163.0829347212916;8545.055089529757
7;3173.1540445439805;8565.40270000364
8;3187.671118475775;8605.605704463824
9;3170.5372503646067;8569.650910838169
10;3197.5013250661295;8630.802610960316
11;3207.6513343488573;8659.6757035633
12;3205.7289357176155;8663.086570190902
13;3211.4463899818193;8672.534795502186
14;3218.8681283550877;8684.97538576845
15;3221.546864169789;8694.343658351323
16;3209.2186650074636;8667.469450189426
17;3167.6793734805137;8566.069175586148
18;3190.466791173872;8619.498534987231
19;3212.390767454998;8675.577881150333
20;3228.6218158804186;8716.355862298247
21;3228.669120004176;8721.447936718467
22;3238.414855146105;8744.616680830428
23;3226.9195239409487;8713.653547210422
24;3227.021533045318;8715.241197580022
25;3215.6694536159075;8681.298319770742
26;3225.689323314506;8710.64297757097
27;3230.110004628434;8725.556294015912
28;3231.5355409238605;8722.595470560409
29;3219.6351273663677;8695.051812660211
30;3215.837024061149;8683.590333088883
31;3219.014100328004;8698.320064560336
32;3231.9045413032795;8728.649837539986
33;3212.993673606808;8682.56927959109
34;3220.00540253936;8698.117537155433
35;3213.8237527138317;8681.337893746339
36;3221.1715330926854;8698.350624160994
37;3226.5465795713444;8711.34703746575
38;3225.6918418268806;8717.01458121164
39;3213.6235297951052;8684.815669974836
40;3230.40103197753;8721.01791042628
41;3230.4964472742486;8723.77041820173
42;3191.0474395736114;8628.048845756164
43;3217.7620302913865;8693.496974095646
44;3211.7345669142246;8675.288821917866
45;3222.2094489074734;8701.072909374421
46;3238.39080333271;8743.930092868372
47;3227.0500111413717;8712.021640111021
48;3215.571498166126;8684.912291688239
49;3218.359381180629;8691.423080089577
50;3233.7722351740626;8733.67883528583
51;3229.1634383917753;8720.377772668555
52;3220.8239850132954;8695.490069709127
53;3222.0683743072136;8703.57066725549
54;3237.9566852669614;8740.275725562704
55;3227.7127228981594;8705.347141050413
56;3233.468588651908;8726.560487267285
57;3206.3330999817385;8665.423895028009
58;3221.964165768332;8700.937682493393
59;3197.3610258532703;8636.168461675667
60;3215.5482130986534;8687.020125910116
61;3230.411779118664;8721.710454854607
62;3233.0666554783515;8724.702030555136
63;3223.6566519852913;8703.750155343603
64;3214.09115575906;8678.667046685056
65;3175.7420197501615;8590.309840704072
66;3219.6487854426787;8695.201994889623
67;3226.6745684446987;8714.45762443345
68;3215.845861046026;8678.830725394748
69;3237.140138773914;8742.769974158544
70;3224.388998338228;8709.532756192739
71;3215.663274618745;8682.689130173161
72;3214.7662002944735;8677.812036864323
73;3211.673949957221;8680.72126558044
74;3231.3546615414857;8720.77925920135
